doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit_cny,operating_cash_flow_cny,ocf_to_profit_ratio,dividend_pressure_score,profit_pressure_score,cashflow_pressure_score,liquidity_term_hits,liquidity_weighted_hits,liquidity_risk_score,liquidity_risk_quantile,legacy_liquidity_risk_label,attention_score,attention_level,review_reason
1212964021,600048,保利发展,2021,True,5.8,27387836600.0,10551217200.0,0.3853,100.0,10.0,40.0,5,10.0,10.47,low,low,44.62,monitor,routine review
1213249284,002244,滨江集团,2021,True,2.26,3027327039.62,839419095.72,0.2773,45.2,10.0,70.0,11,21.5,22.51,high,high,38.69,monitor,cash dividend while operating cash flow is weak or negative
1212942161,600266,城建发展,2021,True,1.0,641255003.77,3091898686.79,4.8216,20.0,10.0,10.0,8,16.0,16.75,medium,medium,14.69,routine,routine review
1212687124,600649,城投控股,2021,True,1.1,911542960.62,-12678714607.79,,22.0,10.0,100.0,2,4.0,4.19,low,low,34.65,routine,cash dividend while operating cash flow is weak or negative
1213255431,600094,大名城,2021,,,-412344720.6,6533716477.87,15.8453,15.0,100.0,10.0,9,18.0,18.85,medium,medium,31.71,routine,net profit is negative; dividend field is missing
1212886659,000031,大悦城,2021,False,0.0,107510183.02,-8464132339.15,,0.0,35.0,100.0,7,13.0,13.61,medium,medium,35.4,monitor,routine review
1212974325,600658,电子城,2021,True,0.15,31574974.79,2479662143.17,78.5325,3.0,60.0,10.0,1,2.0,2.09,low,low,15.92,routine,routine review
1212857761,600325,华发股份,2021,True,4.6,3194749145.48,36060713136.64,11.2875,92.0,10.0,10.0,15,34.0,35.6,high,high,41.0,monitor,routine review
1213001265,000897,津滨发展,2021,False,0.0,488496565.4,1269666726.53,2.5991,0.0,35.0,10.0,4,10.5,10.99,medium,medium,12.25,routine,routine review
1212897448,600683,京投发展,2021,True,1.3,328623564.48,7538629978.76,22.94,26.0,35.0,10.0,15,30.5,31.94,high,medium,25.28,routine,routine review
1216282876,600048,保利发展,2022,True,4.5,18346819500.0,7422377100.0,0.4046,90.0,10.0,40.0,5,10.5,10.99,medium,low,41.75,monitor,routine review
1217376050,002244,滨江集团,2022,True,2.5,3741031371.11,5213654322.38,1.3936,50.0,10.0,10.0,12,23.5,24.61,high,high,25.65,routine,routine review
1216238461,600266,城建发展,2022,True,1.0,-926179072.98,8337011822.52,9.0015,20.0,100.0,10.0,5,10.0,10.47,low,low,31.12,routine,net profit is negative
1216220009,600649,城投控股,2022,True,1.1,782555327.01,-8179987359.73,,22.0,10.0,100.0,2,4.5,4.71,low,low,34.78,routine,cash dividend while operating cash flow is weak or negative
