doc_id,stock_name,section_type,quality_issue,page_no,evidence_preview,human_check_status,review_notes
1209488269,万科A,dividend,ok,1,"董事会主席郁亮，执行副总裁、财务负责人韩慧华声明：保证本报告中财务报告的真 实、准确和完整。 公司2020年度分红派息预案：以实施分红派息时股权登记日的总股本为基数， 2020年 度拟合计派发现金股息人民币14,522,165,251.25",pending,candidate_from_front_matter
1209488269,万科A,financial,ok,1,"（一）主要会计数据和财务指标 单位：元 2020 年 2019 年 本年比上年增减 2018 年 营业收入 419,111,677,714.12 367,893,877,538.94 13.92% 297,679,331,103.19 营业",pending,candidate_from_heading
1209488269,万科A,liquidity_risk,ok,1,负债 49.3 亿元，占总体有息负债的 1.9%。 分境内境外来看，境内负债占比 74.4%，境外负债占比 25.6%。人民币负债占比 74.6%，外币负债占 比 25.4%。 融资情况表（截至 2020 年 12 月 31 日） 单位：万,pending,candidate_from_heading
1212750450,万科A,dividend,ok,1,"董事会主席郁亮，执行副总裁、财务负责人 韩慧华声明：保证本报告中财务报告的真 实、准确和完整。 公司2021年度分红派息预案：以实施分红派息时股权登记日的总股本为基数，2021年 度拟合计派发现金股息人民币11,276,621,873.75",pending,candidate_from_front_matter
1212750450,万科A,financial,ok,1,"（一）主要会计数据和财务指标 单位：元 2021 年 2020 年 本年比上年增减 2019 年 营业收入 452,797,773,974.14 419,111,677,714.12 8.04% 367,893,877,538.94 营业利",pending,candidate_from_heading
1212750450,万科A,liquidity_risk,ok,1,分境内境外来看，境内负债占比 75.8%，境外负债占比 24.2%。人民币负债占比 76.6%，外币负债占 比 23.4%。 截止年末，本集团存量融资的综合融资成本为 4.11%。 融资情况表（截至 2021 年 12 月 31 日） 单位,pending,candidate_from_heading
1216273938,万科A,dividend,ok,1,"董事会主席郁亮，执行副总裁、财务负责人韩慧华声明：保证本报告中财务报告的真 实、准确和完整。 公司2022年度分红派息预案：以实施分红派息时股权登记日的总股本为基数，2022年 度拟合计派发现金股息人民币 8,063,272,365.72元",pending,candidate_from_front_matter
1216273938,万科A,financial,ok,1,"（一）主要会计数据和财务指标 单位：元 2022年 2021年 本年比上年增减 2020年 营业收入 503,838,367,358.76 452,797,773,974.14 11.27% 419,111,677,714.12 营业利润 ",pending,candidate_from_heading
1216273938,万科A,liquidity_risk,ok,1,负债 65.5亿元，占总体有息负债的 2.1%。无抵押无质押的有息负债占比为 95.2%。 分境内境外来看，境内负债占比 78.1%，境外负债占比 21.9%。人民币负债占比 78.7%，外币负债占 比 21.3%。 融资情况表（截至 20,pending,candidate_from_heading
1219487237,万科A,dividend,ok,1,董事会主席郁亮，执行副总裁、财务负责人 韩慧华声明：保证本报告中财务报告的真 实、准确和完整。 公司2023年度分红派息预案： 当前行业正在经历深度调整，经过综合考量， 2023年度 公司不派发股息，不送红股，也不进行资本公积金转增股本 。,pending,candidate_from_front_matter
1219487237,万科A,financial,ok,1,"（一）主要会计数据和财务指标 单位：元 项目 2023 年 1-12 月 2022 年 1-12 月 比上年同期增减 调整前 调整后 调整后 营业收入 465,739,076,702.23 503,838,367,358.76 503,83",pending,candidate_from_heading
1219487237,万科A,liquidity_risk,ok,1,分利率类型来看，有息负债中，固定利率负债占比 38.7%，浮动利率负债占比 61.3%。 分境内境外来看，境内负债占比 80.3%，境外负债占比 19.7%。人民币负债占比 80.9%，外币负债占比 19.1%。 融资情况表（截至 2023,pending,candidate_from_heading
1222974139,万科A,dividend,ok,1,董事会主席辛杰，执行副总裁、财务负责人韩慧华声明：保证本报告中财 务报告的真实、准确和完整。 公司 2024 年度分红派息预案：2024 年度公司不派发股息，不送红股，也不 进行资本公积转增股本。公司 2024 年度分红派息预案还需提交公司,pending,candidate_from_front_matter
