doc_id,stock_name,section_type,quality_issue,page_no,evidence_preview,human_check_status,review_notes
1219487237,万科A,dividend,ok,1,本报告之财务报告已经毕马威华振会计师事务所（特殊普通合伙）审计并出具了标准无保留意见的审计报告。 董事会主席郁亮，执行副总裁、财务负责人韩慧华声明：保证本报告中财务报告的真实、准确和完整。 公司2023年度分红派息预案：当前行业正在经历深度,pending,candidate_from_front_matter
1219487237,万科A,financial,ok,1,# （一）主要会计数据和财务指标 注 1：根据财政部 2022 年 11 月 30 日颁布的《企业会计准则解释第 16 号》(财会〔2022〕31 号)，公司自2023 年1 月1 日起执行前述会计准则的要求，并对 2022 年比较期间数据,pending,candidate_from_heading
1219487237,万科A,liquidity_risk,ok,1,分融资对象来看，银行借款占比为 61.7%，应付债券占比为 24.8%，其他借款占比为 13.5%。 分利率类型来看，有息负债中，固定利率负债占比38.7%，浮动利率负债占比61.3%。 分境内境外来看，境内负债占比 80.3%，境外负债占,pending,candidate_from_heading
1219740785,保利发展,dividend,ok,1,三、 天职国际会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、公司负责人、董事长刘平，董事、总经理周东利，主管会计工作负责人王一夫及会计机构负责人黎波声明：保证年度报告中财务报告的真实、准确、完整。 # 五、 董事,pending,candidate_from_front_matter
1219740785,保利发展,financial,ok,1,"# 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：万元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspan=",pending,candidate_from_heading
1219740785,保利发展,liquidity_risk,ok,1,单位：万元 币种：人民币 <table><tr><td>经营业态</td><td>项目数量(个)</td><td>总建筑面积(平方米)</td><td>可供出租面积(平方米)/客房数(套)</td><td>经营收入</td><td>是否采用,pending,candidate_from_heading
1219330022,招商蛇口,dividend,ok,1,本公司董事张军立因工作原因未能亲自出席审议本报告的董事会会议（以下简称“本次董事会”），授权董事刘昌松代为出席会议并行使表决权，其余董事均出席了会议。 本报告中涉及的未来计划等前瞻性陈述，属于计划性事项，不构成公司对投资者的实质性承诺，敬请,pending,candidate_from_front_matter
1219330022,招商蛇口,financial,ok,1,# 六、主要会计数据和财务指标 <table><tr><td></td><td>2023年</td><td>2022年</td><td>本年比上年增减</td><td>2021年</td></tr><tr><td>营业收入(元)</td><,pending,candidate_from_heading
1219330022,招商蛇口,liquidity_risk,ok,1,<table><tr><td>承诺事由</td><td>承诺方</td><td>承诺类型</td><td>承诺内容</td><td>承诺时间</td><td>承诺期限</td><td>履行情况</td></tr><tr><td>首次公开发行,pending,candidate_from_heading
1219307600,金地集团,dividend,ok,1,三、 德勤华永会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、公司负责人黄俊灿、主管会计工作负责人韦传军及会计机构负责人（会计主管人员）曾爱辉声明：保证年度报告中财务报告的真实、准确、完整。 # 五、 董事会决议通,pending,candidate_from_front_matter
1219307600,金地集团,financial,ok,1,"# 七、 近三年主要会计数据和财务指标 # (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspan",pending,candidate_from_heading
1219307600,金地集团,liquidity_risk,ok,1,√适用 □不适用 单位：万元 币种：人民币 <table><tr><td>经营业态</td><td>地区</td><td>出租物业数量</td><td>出租房地产的建筑面积</td><td>可出租面积</td><td>1-12月累计租金收入,pending,candidate_from_heading
1219860111,滨江集团,dividend,ok,1,公司需遵守《深圳证券交易所上市公司自律监管指引第 3 号——行业信息披露》中房地产业的披露要求 一、政策风险：公司所处房地产行业与国民经济的联系极为密切，受到国家宏观调控政策影响较大。二、业务经营风险：房地产项目开发周期长，投资大，涉及相关,pending,candidate_from_front_matter
1219860111,滨江集团,financial,ok,1,"# 六、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 是 □否 追溯调整或重述原因 会计政策变更 <table><tr><td rowspan=""2""></td><td rowspan=""2"">2023年</td><t",pending,candidate_from_heading
1219860111,滨江集团,liquidity_risk,ok,1,4)代建业务：继续拓展代建业务，争取新增 5至 10个代建项目。 （三）2024年主要计划竣工交付项目 <table><tr><td>序号</td><td>项目名称</td><td>项目类别</td><td>所在地</td><td>权益比例,pending,candidate_from_heading
1219875404,华发股份,dividend,ok,1,三、 大华会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人李光宁、主管会计工作负责人罗彬及会计机构负责人（会计主管人员）陈新云声明：保证年度报告中财务报告的真实、准确、完整。 五、 董事局会议决议通过的,pending,candidate_from_front_matter
1219875404,华发股份,financial,ok,1,"# 七、 近三年主要会计数据和财务指标 # (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspan",pending,candidate_from_heading
1219875404,华发股份,liquidity_risk,ok,1,"2023 年，全国房地产开发投资 110,913 亿元，比上年下降 9.6%；其中，住宅投资 83,820 亿元，下降9.3%。全年房地产开发企业房屋施工面积838,364万平方米，比上年下降7.2%。其中，住宅施工面积589,884万平方",pending,candidate_from_heading
1219446608,新城控股,dividend,ok,1,普华永道中天会计师事务所（特殊普通合伙）对本公司 2023 年度财务报表出具了带有持续经营重大不确定性段落的无保留意见的审计报告，公司董事会、监事会对 2023 年度财务报表非标准审计意见涉及事项进行了专项说明，详见公司同日在上海证券交易所,pending,candidate_from_front_matter
1219446608,新城控股,financial,ok,1,# 七、近三年主要会计数据和财务指标 # (一)主要会计数据 单位：元 币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</td><t,pending,candidate_from_heading
1219446608,新城控股,liquidity_risk,ok,1,3、2023年度公司商业运营总收入为113.24亿元（即含税租金收入），包含：商铺、办公楼及购物中心的租金、管理费、停车场、多种经营及其他零星管理费收入；2022年度公司商业运营总收入为100.06亿元（即含税租金收入）。 4、出租率为20,pending,candidate_from_heading
1219689383,首开股份,dividend,ok,1,四、 致同会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 五、 公司负责人李岩、主管会计工作负责人王奥及会计机构负责人（会计主管人员）王奥声明：保证年度报告中财务报告的真实、准确、完整。 # 六、 董事会决议通过的本报,pending,candidate_from_front_matter
1219689383,首开股份,financial,ok,1,"# 七、 近三年主要会计数据和财务指标 # (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td rowspan",pending,candidate_from_heading
1219689383,首开股份,liquidity_risk,ok,1,"报告期内，公司共计实现销售金额 615.33亿元，销售面积2,698,477平方米，实现结转收入金额4,668,745.57万元，结转面积2,034,377平方米，上述主要在售项目（未包含未销售项目）报告期末待结转面积7,391,976平方",pending,candidate_from_heading
1222823303,陆家嘴,dividend,ok,1,三、普华永道中天会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、公司负责人徐而进、主管会计工作负责人周卉及会计机构负责人（会计主管人员）丁瑜声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、董事会决议通过,pending,candidate_from_front_matter
1222823303,陆家嘴,financial,ok,1,"## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspa",pending,candidate_from_heading
1222823303,陆家嘴,liquidity_risk,ok,1,√适用 □不适用 单位：万元币种：人民币 <table><tr><td>序号</td><td>地区</td><td>项目</td><td>经营业态</td><td>出租房地产的建筑面积(平方米)</td><td>出租房地产的租金收入</td,pending,candidate_from_heading
1219596576,上海临港,dividend,ok,1,三、天健会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、公司负责人翁恺宁、主管会计工作负责人姚炜及会计机构负责人（会计主管人员）徐庭骅声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、董事会决议通过的本报,pending,candidate_from_front_matter
1219596576,上海临港,financial,ok,1,"## 七、近三年主要会计数据和财务指标 ## (一)主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspan",pending,candidate_from_heading
1219596576,上海临港,liquidity_risk,ok,1,上海临港坚持“基金+基地”的发展模式，以投资为驱动、以产业为纽带，强化产业投资联动发展。公司围绕园区特色产业开展重点投资方向布局，聚焦集成电路、生物医药、人工智能三大先导产业和新一代信息技术产业、绿色再制造产业、绿色低碳等新型特色产业，深入,pending,candidate_from_heading
1219463872,张江高科,dividend,ok,1,三、毕马威华振会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、公司负责人刘樱、主管会计工作负责人赵海生及会计机构负责人（会计主管人员）吴小敏声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、董事会决议通过,pending,candidate_from_front_matter
1219463872,张江高科,financial,ok,1,## 七、近三年主要会计数据和财务指标 ## (一)主要会计数据 单位：元 币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</td>,pending,candidate_from_heading
1219463872,张江高科,liquidity_risk,ok,1,单位：万元 币种：人民币 <table><tr><td>序号</td><td>地区</td><td>项目</td><td>经营业态</td><td>出租房地产的建筑面积(平方米)</td><td>出租房地产的租金收入</td></tr><t,pending,candidate_from_heading
1219840458,外高桥,dividend,ok,1,三、 天职国际会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人徐峰、主管会计工作负责人种永及会计机构负责人（会计主管人员）杜丽芳声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、 董事会决议通,pending,candidate_from_front_matter
1219840458,外高桥,financial,ok,1,## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</td,pending,candidate_from_heading
1219840458,外高桥,liquidity_risk,ok,1,持续推进干部年轻化，适应市场变化 指导外设机构管理提升，贯彻落实“一个中心、三个统一” 推进制度建设，形成可复制推广管理模式 ## (四)可能面对的风险 √适用 □不适用 ## 1、全球经济发展高度不确定的风险 国际货币基金组织（IMF）于,pending,candidate_from_heading
1219595758,城建发展,dividend,ok,1,三、 大华会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人储昭武、主管会计工作负责人邹哲及会计机构负责人（会计主管人员）肖红卫声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、 董事会决议通过,pending,candidate_from_front_matter
1219595758,城建发展,financial,ok,1,## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</t,pending,candidate_from_heading
1219595758,城建发展,liquidity_risk,ok,1,"报告期内，公司共计实现销售金额3,260,025万元，销售面积734,628平方米，实现结转收入金额1,934,737万元，结转面积753,950平方米，报告期末待结转面积 3,543,829平方米。 ## 4. 报告期内房地产出租情况 □",pending,candidate_from_heading
1219412328,信达地产,dividend,ok,1,三、 普华永道中天会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人郭伟、主管会计工作负责人（财务总监）周慧芬及会计机构负责人（财务管理中心总经理）王琦声明：保证年度报告中财务报告的真实、准确、完整。 #,pending,candidate_from_front_matter
1219412328,信达地产,financial,ok,1,## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</t,pending,candidate_from_heading
1219412328,信达地产,liquidity_risk,ok,1,√适用 □不适用 单位：万元 币种：人民币 <table><tr><td>序号</td><td>地区</td><td>项目</td><td>经营业态</td><td>出租房地产的建筑面积(平方米)</td><td>可出租面积(平方米)</t,pending,candidate_from_heading
1219915446,栖霞建设,dividend,ok,1,三、 中汇会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人江劲松、主管会计工作负责人徐水炎及会计机构负责人（会计主管人员）何政武声明：保证年度报告中财务报告的真实、准确、完整。 五、 董事会决议通过的本,pending,candidate_from_front_matter
1219915446,栖霞建设,financial,ok,1,## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td>主要会计数据</td><td>2023年</td><td>2022年</td><td>本期比上年同期增减(%)</t,pending,candidate_from_heading
1219915446,栖霞建设,liquidity_risk,ok,1,□适用 □不适用 单位：万元 币种：人民币 <table><tr><td>序号</td><td>地区</td><td>经营业态</td><td>出租房地产的建筑面积(平方米)</td><td>出租房地产的租金收入</td><td>权益比例(,pending,candidate_from_heading
1219876783,苏州高新,dividend,ok,1,三、 立信会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人王平、主管会计工作负责人蔡金春及会计机构负责人（会计主管人员）徐蓉声明：保证年度报告中财务报告的真实、准确、完整。 ## 五、 董事会决议通过的,pending,candidate_from_front_matter
1219876783,苏州高新,financial,ok,1,"## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspa",pending,candidate_from_heading
1219876783,苏州高新,liquidity_risk,ok,1,"报告期内，公司共计实现销售金额 382,233万元，销售面积172,842平方米，实现结转收入金额578,656万元，结转面积 250,101平方米，报告期末待结转面积 580,154 平方米。 ## 4. 报告期内房地产出租情况 □适用 ",pending,candidate_from_heading
1219493208,京投发展,dividend,ok,1,三、 天职国际会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人孔令洋、主管会计工作负责人张雨来及会计机构负责人（会计主管人员）谢雪林声明：保证年度报告中财务报告的真实、准确、完整。 # 五、 董事会决议,pending,candidate_from_front_matter
1219493208,京投发展,financial,ok,1,"# 七、 近三年主要会计数据和财务指标 # (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colspan",pending,candidate_from_heading
1219493208,京投发展,liquidity_risk,ok,1,"报告期内，公司共计实现销售金额828,015 万元，销售面积178,796平方米，实现结转收入金额 1,067,388.20万元，结转面积 247,870.08平方米，报告期末待结转面积 120,115.02平方米。 # 4. 报告期内房地",pending,candidate_from_heading
1219468516,南山控股,dividend,ok,1,公司负责人杨国林、主管会计工作负责人兰健锋及会计机构负责人（会计主管人员）胡永涛声明：保证本年度报告中财务报告的真实、准确、完整。所有董事均已出席了审议本报告的董事会会议。 本报告中所涉及的未来计划、发展战略等前瞻性描述不构成公司对投资者的,pending,candidate_from_front_matter
1219468516,南山控股,financial,ok,1,"## 六、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 是 □否 追溯调整或重述原因：会计政策变更 <table><tr><td rowspan=""2""></td><td rowspan=""2"">2023 年</td>",pending,candidate_from_heading
1219468516,南山控股,liquidity_risk,ok,1,房地产开发业务密切关注市场形势，动态调整项目分类标准，精准施策推动项目销售去化，保障流动性安全。2023 年，累计实现全口径销售金额 173.7 亿元，同比增长 15.8%，权益销售金额 121.3 亿元，同比增长 60.7%，合并报表范围,pending,candidate_from_heading
1219469544,城投控股,dividend,ok,1,三、 天职国际会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告。 四、 公司负责人张辰 、主管会计工作负责人任志坚 、财务总监吴春及会计机构负责人（会计主管人员）唐啸戈声明：保证年度报告中财务报告的真实、准确、完整。 ##,pending,candidate_from_front_matter
1219469544,城投控股,financial,ok,1,"## 七、 近三年主要会计数据和财务指标 ## (一) 主要会计数据 单位：元 币种：人民币 <table><tr><td rowspan=""2"">主要会计数据</td><td rowspan=""2"">2023年</td><td colsp",pending,candidate_from_heading
1219469544,城投控股,liquidity_risk,ok,1,√适用 □不适用 单位：万元 币种：人民币 <table><tr><td>序号</td><td>地区</td><td>项目</td><td>经营业态</td><td>出租房地产的建筑面积(平方米)</td><td>出租房地产的租金收入</t,pending,candidate_from_heading
1219865459,荣盛发展,dividend,ok,1,公司需遵守《深圳证券交易所上市公司自律监管指引第 3 号——行业信息披露》中房地产业的披露要求。 公司主要业务所处房地产行业与国民经济的联系极为密切，受到相关政策影响较大；在公司跨区域经营发展过程中，如果内部的管理体系、项目管理制度、人力资,pending,candidate_from_front_matter
1219865459,荣盛发展,financial,ok,1,"## 六、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 是 □否 追溯调整或重述原因：同一控制下企业合并 <table><tr><td rowspan=""2""></td><td rowspan=""2"">2023年</t",pending,candidate_from_heading
1219865459,荣盛发展,liquidity_risk,ok,1,<table><tr><td>承诺事由</td><td>承诺方</td><td>承诺类型</td><td>承诺内容</td><td>承诺时间</td><td>承诺期限</td><td>履行情况</td></tr><tr><td>首次公开发行,pending,candidate_from_heading
1219488813,华侨城A,dividend,ok,1,公司负责人张振高、主管会计工作负责人刘宇及会计机构负责人古小龙（会计主管人员）声明：保证本年度报告中财务报告的真实、准确、完整。 所有董事亲自出席了审议本次年报的董事会会议。 公司计划不派发现金红利，不送红股，不以公积金转增股本。 本年度报,pending,candidate_from_front_matter
1219488813,华侨城A,financial,ok,1,## 六、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 是 否 追溯调整或重述原因：会计政策变更 2023年起首次执行财政部于 2022年11月 30日发布的《企业会计准则解释第 16 号》中关于单项交易产生的资产和,pending,candidate_from_heading
1219488813,华侨城A,liquidity_risk,ok,1,<table><tr><td>承诺事由</td><td>承诺方</td><td>承诺类型</td><td>承诺内容</td><td>承诺时间</td><td>承诺期限</td><td>履行情况</td></tr><tr><td>股改承诺</,pending,candidate_from_heading
1219863705,大悦城,dividend,ok,1,公司董事会、监事会及董事、监事、高级管理人员保证年度报告内容的真实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。 公司法定代表人姚长林、主管会计工作负责人吴立鹏及会计机构负责人薛晓明声明：保证本年度报告中财,pending,candidate_from_front_matter
1219863705,大悦城,financial,ok,1,## 六、主要会计数据和财务指标 ## 公司是否需追溯调整或重述以前年度会计数据 □是 √否 <table><tr><td></td><td>2023年</td><td>2022年</td><td>本年比上年增减</td><td>2021年,pending,candidate_from_heading
1219863705,大悦城,liquidity_risk,ok,1,除以上履行承诺期限变更外，原承诺函中的其他承诺内容均保持不变。 ## 2、公司资产或项目存在盈利预测，且报告期仍处在盈利预测期间，公司就资产或项目达到原盈利预测及其原因做出说明 □适用 √不适用 ## 二、控股股东及其他关联方对上市公司的非,pending,candidate_from_heading
1219517434,中交地产,dividend,ok,1,公司需遵守《深圳证券交易所上市公司自律监管指引第 3 号——行业信息披露》中房地产业的披露要求。 公司已在本报告中详细描述了公司所面临的风险，敬请查阅本报告“经营情况讨论与分析”等章节中关于公司未来发展可能面临的风险因素。 公司计划不派发现,pending,candidate_from_front_matter
1219517434,中交地产,financial,ok,1,## 六、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □ 是 √ 否 <table><tr><td></td><td>2023年</td><td>2022年</td><td>本年比上年增减</td><td>2021年<,pending,candidate_from_heading
1219517434,中交地产,liquidity_risk,ok,1,<table><tr><td>承诺事由</td><td>承诺方</td><td>承诺类型</td><td>承诺内容</td><td>承诺时间</td><td>承诺期限</td><td>履行情况</td></tr><tr><td>股改承诺</,pending,candidate_from_heading
